area,count,mean,std,min,1%,5%,50%,95%,99%,max
DK1,21911.0,600.83,388.89,-448.02,-38.58,0.06,620.49,1143.87,1693.4,6982.42
DK2,21911.0,609.25,405.27,-447.46,-20.14,11.95,621.87,1190.87,1842.52,6982.64
